Frequency	Magnitude	Phase
1.0	25.857981387104928	139.89540537328574
2.0	22.68689596329766	164.9630006973506
3.0	20.651742885472785	173.28143625892423
4.0	18.486295098029192	-173.80076706119166
5.0	19.803852867863124	-36.530472979087264
6.0	24.70089683354299	-28.870415138817897
7.0	21.925158574693725	35.53474554844989
8.0	16.386418356460247	132.85499801005366
9.0	18.130357464688643	-111.48426913056824
10.0	23.470464776845308	38.761093354050246
11.0	15.45958820563782	112.61857031813456
12.0	22.84369679625934	-40.744544958358844
13.0	16.354909740060187	-124.77100018917857
14.0	25.60732668781721	-175.26641014157732
15.0	16.89900263102729	-50.74127862026754
16.0	14.668267657222156	-42.17120905500045
17.0	16.181170758502336	-70.84149044459478
18.0	18.77686270780871	170.39823395369567
19.0	21.66100953078213	1.611131259913824
20.0	21.098954845987716	-18.731869573435063
21.0	15.674857083818454	-107.06903060149118
22.0	22.634816243289166	103.39490622497343
23.0	23.00198554124409	-165.9364712461671
24.0	27.182007922306084	-141.9746224596264
25.0	17.756171620837186	128.33429543771774
26.0	18.16075901573295	150.87558836415744
27.0	17.935269037502216	49.46163277169713
28.0	26.373380736753532	116.14497962149639
29.0	28.574748413456796	126.63945340836051
30.0	19.6464066068831	-18.096874244879704
31.0	12.441301761053175	-140.172542282475
32.0	4.949322421338922	-130.19859757966339
33.0	22.257021374175796	62.3918204039441
34.0	17.159182244248917	-77.44889233942395
35.0	19.215695299945942	-129.9277824324325
36.0	20.37267266024337	159.5942342118636
37.0	15.523520126941154	93.37503834783166
38.0	22.536953889478234	-129.2619361968728
39.0	24.587933815167613	-129.36900581505412
40.0	18.393932762437043	119.81026315995476
41.0	21.2298714214058	-39.77089194972169
42.0	14.047404003659071	-13.250367773148605
43.0	9.106320199312382	158.0989131456906
44.0	20.339330794526216	-94.66490830567423
45.0	20.310457572879162	-4.199830181738945
46.0	21.459928908081412	4.9119830345337
47.0	18.17996932877681	42.332743973768345
48.0	19.109547220168494	-96.37789718413039
49.0	23.970282515256017	2.1294726363828063
50.0	96.1258802042054	-0.0022802182928373053
51.0	19.284631493932253	-76.84136909464623
52.0	27.392557075578278	-54.058205413702304
53.0	10.261548350527878	98.87347146240795
54.0	20.62570528005206	-18.970604026012097
55.0	11.196554471936233	115.98468425374568
56.0	20.495901343654673	18.026227144114294
57.0	19.815316654394547	-144.48869527631737
58.0	26.761050394133928	115.71421935454772
59.0	19.23737292498816	-64.4944575485363
60.0	19.687778524955696	-61.76045008880531
61.0	19.44302017717756	-166.47086494886824
62.0	24.689535655133238	-46.60578356448312
63.0	24.241068894787226	-42.92847255845749
64.0	13.310350936357695	143.58293545690807
65.0	27.582945111719653	-74.7765968358217
66.0	0.10486817175132225	70.8634043572916
67.0	16.953712733251137	118.51942712923515
68.0	9.421690453522768	111.92301325637506
69.0	12.40613103080215	101.98130635607178
70.0	19.419590764822534	87.62770903980044
71.0	24.103884392850595	44.769810487956846
72.0	19.66710130911981	109.94260067395024
73.0	22.722945916621757	117.1915884655494
74.0	22.69732018411846	-65.25974297994992
75.0	21.73042554017391	89.87078108692486
76.0	13.788043350765262	41.37840031071717
77.0	20.43667767758082	-4.3017519245003095
78.0	16.24195754661008	174.69152572393608
79.0	20.431054393105086	8.859522660847752
80.0	14.611596032903286	-33.21873850778925
81.0	20.62688193807584	-167.50720448435143
82.0	21.82366254596822	-154.6977125534293
83.0	20.177395657985326	12.801099136978417
84.0	21.335668647684194	173.4198392099751
85.0	14.787558765552989	-30.00353622808408
86.0	27.053980791343143	174.7831563308191
87.0	22.327844372905194	-53.942248489538876
88.0	10.27028310615936	120.99654316252932
89.0	15.54509193062567	-161.40582707024205
90.0	15.602097728360423	127.5584795705008
91.0	20.271779295611235	43.70867746374837
92.0	17.160854173287735	-39.83989444443151
93.0	19.620150115758523	-178.51290639043205
94.0	17.553619950934745	130.41366672679504
95.0	22.41675574456452	-99.9197693316304
